"time","extractOutput1","raffinateOutput2","extractOutput2","raffinateOutput1"
1108.8,5.92622e-23,0.0181783,1.59313e-52,14.7578
1113.6,8.94891e-23,0.0194289,2.72711e-52,14.7747
1118.4,1.34694e-22,0.020751,4.65276e-52,14.7905
1123.2,2.02081e-22,0.0221479,7.91205e-52,14.8052
1128,3.02215e-22,0.0236227,1.34106e-51,14.8191
1132.8,4.50539e-22,0.0251787,2.26571e-51,14.832
1137.6,6.69553e-22,0.0268195,3.81563e-51,14.844
1142.4,9.91946e-22,0.0285484,6.40538e-51,14.8553
1147.2,1.46505e-21,0.0303691,1.0719e-50,14.8658
1152,2.15722e-21,0.0322851,1.78815e-50,14.8756
1156.8,3.1668e-21,0.0343003,2.97377e-50,14.8847
1161.6,4.63496e-21,0.0364184,4.9303e-50,14.8933
1166.4,6.76367e-21,0.0386434,8.14921e-50,14.9012
1171.2,9.84103e-21,0.0409793,1.3429e-49,14.9085
1176,1.42768e-20,0.04343,2.20632e-49,14.9154
1180.8,2.06523e-20,0.0459997,3.61411e-49,14.9218
1185.6,2.97894e-20,0.0486926,5.90273e-49,14.9277
1190.4,4.28472e-20,0.0515131,9.61244e-49,14.9332
1195.2,6.14555e-20,0.0544654,1.56082e-48,14.9383
1200,8.79e-20,0.0575539,2.52711e-48,14.9431
1204.8,1.25377e-19,0.0607833,4.07995e-48,14.9474
1209.6,1.78343e-19,0.0641579,6.56834e-48,14.9515
1214.4,2.52998e-19,0.0676825,1.05448e-47,14.9553
1219.2,3.57939e-19,0.0713616,1.68814e-47,14.9588
1224,5.0506e-19,0.0752001,2.69513e-47,14.962
1228.8,7.10771e-19,0.0792026,4.29102e-47,14.965
1233.6,9.97651e-19,0.0833741,6.81336e-47,14.9678
1238.4,1.39669e-18,0.0877194,1.07892e-46,14.9704
1243.2,1.95031e-18,0.0922434,1.70396e-46,14.9727
1248,2.71643e-18,0.0969512,2.68395e-46,14.9749
1252.8,3.77395e-18,0.101848,4.21645e-46,14.9769
1257.6,5.23004e-18,0.106938,6.60671e-46,14.9788
1262.4,7.22994e-18,0.112227,1.03252e-45,14.9805
1267.2,9.96998e-18,0.11772,1.60952e-45,14.9821
1272,1.37149e-17,0.123422,2.50257e-45,14.9836
1276.8,1.88209e-17,0.129338,3.88131e-45,14.9849
1281.6,2.5766e-17,0.135474,6.00454e-45,14.9862
1286.4,3.51899e-17,0.141834,9.26618e-45,14.9873
1291.2,4.79474e-17,0.148423,1.42642e-44,14.9884
1296,6.51774e-17,0.155248,2.19044e-44,14.9893
1300.8,8.83937e-17,0.162313,3.35552e-44,14.9902
1305.6,1.19604e-16,0.169623,5.1279e-44,14.9911
1310.4,1.61467e-16,0.177183,7.81771e-44,14.9918
1315.2,2.17489e-16,0.185,1.18902e-43,14.9925
1320,2.92294e-16,0.193076,1.80415e-43,14.9931
1324.8,3.91955e-16,0.201419,2.73113e-43,14.9937
1329.6,5.2444e-16,0.210033,4.12481e-43,14.9943
1334.4,7.00176e-16,0.218923,6.21534e-43,14.9947
1339.2,9.32777e-16,0.228094,9.34402e-43,14.9952
1344,1.23998e-15,0.237551,1.40158e-42,14.9956
1348.8,1.64486e-15,0.247299,2.09761e-42,14.996
1353.6,2.17733e-15,0.257343,3.13228e-42,14.9963
1358.4,2.87614e-15,0.267688,4.66697e-42,14.9967
1363.2,3.79135e-15,0.278339,6.93831e-42,14.9969
